                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1249,                 4.0241,                   1.23,                 0.0028,                   0.84,                0.00501,                0.00269,                      0,                    inf,                      0,                 0.0901,                 0.0011,                 0.0011
                      1,                0.94628,                 3.0747,                 1.0035,                0.00333,                      1,                 0.5824,                0.38502,                      0,                    inf,                      0,               0.079277,              0.0022772,              0.0022772
                      2,                0.95204,                   1.79,                0.97038,                0.81874,                    0.9,                0.93439,                0.65562,                      0,                    inf,                      0,               0.068431,              0.0034307,              0.0034307
                      3,                0.95374,                 1.4484,                0.96975,                0.00333,                      1,                0.96981,                0.64155,                      0,                    inf,                      0,                0.05756,              0.0045604,              0.0045604
                      4,                 1.0441,                 1.2189,                 1.0072,                0.00333,                      1,                0.98462,                0.69168,                      0,                    inf,                      0,               0.046666,              0.0056664,              0.0056664
                      5,                 1.0355,                 1.1779,                0.99769,                      1,                 0.3911,                0.99113,                0.66663,                      0,                    inf,                      0,               0.035749,              0.0067485,              0.0067485
                      6,                 1.0363,                 1.1146,                 1.0039,                      1,                0.93639,                0.98162,                0.70933,                      0,                    inf,                      0,               0.024807,               0.007807,               0.007807
                      7,                 1.0301,                 1.0861,                 1.0047,                 0.9968,                   0.96,                0.99207,                0.63672,                      0,                    inf,                      0,               0.013842,              0.0088416,              0.0088416
                      8,                  1.084,                 1.1337,                 1.0528,                0.91516,                   0.96,                0.97547,                0.70221,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      9,                 1.0969,                  1.026,                 1.0542,                0.99787,                   0.98,                0.99423,                0.64962,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.0529,                 1.0784,                 1.0722,                0.96096,                0.98453,                0.99383,                0.67813,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.0304,                 1.0166,                  1.053,                0.99398,                   0.96,                0.99051,                0.69665,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.0233,                0.97998,                 1.0535,                0.99122,                   0.98,                0.99352,                0.71803,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.0005,                0.97141,                 1.0362,                0.97954,                0.95768,                0.97846,                0.68823,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.0318,                0.94595,                 1.0572,                      1,                0.97802,                0.98081,                0.68399,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                  1.053,                0.86086,                  1.033,                0.97581,                   0.98,                0.97818,                0.67683,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.95809,                0.93373,                 1.0078,                0.99709,                   0.92,                0.95708,                0.67698,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.93011,                0.86566,                 1.0131,                0.99527,                   0.98,                0.98599,                0.71908,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.91723,                0.78461,                 1.0057,                0.97926,                0.94441,                0.98624,                 0.7025,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.88903,                 0.7904,                0.97921,                0.98427,                   0.96,                0.98442,                0.70073,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                0.93126,                0.80904,                 1.0018,                      1,                 0.9716,                0.98167,                 0.6988,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                0.93146,                0.75849,                 1.0142,                 0.9916,                   0.94,                0.97657,                0.70566,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.91035,                0.75753,                 1.0175,                0.99635,                   0.98,                0.99423,                0.72293,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.93857,                0.75382,                 1.0022,                0.98038,                0.99953,                0.99147,                0.69489,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                0.88161,                0.72336,                0.98188,                0.95733,                   0.98,                0.98732,                0.69357,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                0.91452,                0.71539,                 1.0048,                0.99696,                   0.98,                0.97929,                0.71049,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                0.87547,                0.66846,                0.98027,                 0.9975,                   0.98,                0.98401,                0.68539,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                0.93664,                0.71125,                0.99614,                      1,                0.99724,                  0.995,                0.67894,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                0.93003,                0.72895,                 1.0008,                0.95074,                      1,                0.98561,                0.69707,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                0.88709,                0.66889,                0.98286,                0.89241,                0.99543,                0.91461,                0.61911,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                0.90308,                0.65885,                0.98184,                0.90534,                   0.98,                0.93291,                0.65867,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                0.83989,                0.63565,                0.97377,                0.87225,                      1,                 0.8796,                0.63071,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                0.87901,                 0.6286,                0.96837,                0.76887,                0.99801,                0.76538,                 0.5042,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                0.83426,                0.59801,                0.95868,                0.83969,                   0.98,                0.84944,                0.54945,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                0.90602,                0.63386,                0.95701,                0.81762,                   0.98,                0.84835,                0.54469,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                0.85615,                0.63214,                0.97516,                      1,                0.97467,                 0.9872,                0.73615,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                0.84637,                0.61864,                 0.9463,                0.99843,                   0.98,                0.99318,                0.73028,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                0.84454,                0.62411,                0.95104,                0.84643,                   0.96,                0.87948,                0.65108,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                 0.8112,                0.59438,                0.97244,                0.78839,                   0.98,                0.78779,                0.56772,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.81258,                0.60305,                0.95868,                 0.6482,                0.99499,                0.64999,                 0.4598,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.78014,                0.56651,                0.94025,                0.86332,                   0.98,                0.93477,                0.66731,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.74231,                0.56225,                0.91911,                0.81577,                0.97425,                0.88391,                0.63123,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.76022,                0.54895,                0.93998,                0.83051,                      1,                0.83194,                0.59366,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.77848,                0.55011,                0.92624,                0.95127,                      1,                0.95731,                 0.6879,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.77743,                0.55537,                0.94222,                0.99722,                      1,                  0.995,                0.71259,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.82114,                0.54939,                0.94043,                 0.9983,                   0.98,                0.99139,                 0.7076,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.77426,                0.59833,                0.94032,                      1,                0.99816,                  0.995,                0.74986,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 0.7241,                0.54442,                0.90873,                0.99862,                   0.98,                 0.9887,                0.72657,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.72034,                0.52558,                0.92215,                0.99812,                   0.98,                0.97698,                  0.739,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.79171,                0.54834,                0.93874,                      1,                0.97996,                0.99423,                0.73901,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.70358,                0.51527,                0.92049,                0.99834,                   0.98,                0.98676,                0.74519,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.74684,                0.51537,                0.92968,                0.99745,                   0.98,                0.99113,                 0.7316,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.68814,                0.49337,                0.89617,                0.98189,                   0.98,                0.97668,                0.75467,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.74676,                0.52167,                0.92009,                0.97839,                   0.98,                0.97635,                0.70465,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.72272,                0.51747,                0.89989,                0.99652,                   0.98,                0.98252,                0.70394,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.68061,                0.49939,                0.90254,                0.97776,                      1,                0.97578,                0.73182,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.66831,                0.47409,                0.90672,                0.94106,                      1,                0.95405,                0.71207,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.69562,                0.48606,                0.91294,                0.95973,                      1,                0.95731,                0.73116,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.66775,                0.46682,                0.92151,                 0.9592,                      1,                0.97353,                0.72007,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.66524,                0.46861,                0.89843,                0.95953,                      1,                0.95731,                 0.7007,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.67735,                0.47683,                0.91273,                0.99829,                      1,                  0.995,                 0.7552,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.66585,                0.47033,                0.92055,                0.98712,                      1,                  0.995,                 0.7471,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.64124,                0.45996,                0.87925,                0.97843,                      1,                0.99461,                0.72906,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.62592,                0.46543,                0.89517,                0.99851,                   0.98,                0.97875,                 0.7224,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.61859,                 0.4331,                0.90232,                0.99789,                   0.98,                0.98705,                0.71116,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.65609,                0.45631,                0.90366,                0.98036,                0.99821,                0.99461,                0.71967,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.61802,                 0.4354,                0.89414,                      1,                0.99899,                  0.995,                0.72516,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.63072,                0.44735,                0.89571,                0.99441,                      1,                  0.995,                0.72314,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.60049,                0.45321,                0.87621,                0.97659,                      1,                0.97735,                0.72776,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.61556,                0.44896,                0.88165,                0.97575,                      1,                0.99461,                0.76052,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.59577,                0.43287,                0.88509,                0.97226,                   0.98,                0.99423,                0.76306,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.56093,                0.40447,                0.87298,                0.98767,                   0.98,                0.99423,                0.74999,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.58291,                0.42996,                0.88553,                      1,                0.99869,                  0.995,                0.75749,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.61496,                0.42595,                0.88162,                0.99937,                      1,                  0.995,                0.76765,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.58637,                0.41226,                0.88113,                0.99923,                      1,                  0.995,                0.78232,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.54675,                0.40393,                 0.8646,                0.99755,                   0.98,                0.99461,                0.76679,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.58842,                0.40591,                 0.8899,                0.99719,                   0.98,                0.99461,                0.75202,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.56483,                0.41217,                0.88288,                0.97871,                      1,                0.98794,                0.76436,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.55737,                0.39566,                0.86219,                0.94127,                      1,                0.97094,                0.74012,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.55134,                0.39522,                0.86787,                0.98032,                0.99649,                0.97578,                0.75661,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.54241,                0.39595,                 0.8566,                0.97818,                      1,                0.97578,                0.76943,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.54803,                0.40031,                0.85975,                0.99725,                      1,                  0.995,                0.80233,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.54989,                0.40737,                0.87384,                      1,                0.99993,                  0.995,                0.80365,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.51921,                0.39922,                0.85451,                      1,                0.99596,                  0.995,                0.77965,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.52824,                0.37173,                0.85235,                0.98039,                0.99982,                0.99461,                0.76705,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.51817,                0.38466,                0.86853,                0.99777,                      1,                  0.995,                0.75626,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.52046,                0.37941,                0.86341,                0.98959,                      1,                  0.995,                0.74589,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.52133,                0.38162,                0.87292,                 0.9771,                      1,                0.97578,                0.74949,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.52391,                0.37484,                0.85406,                 0.9773,                      1,                0.98049,                0.75548,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.49067,                0.37405,                0.86082,                0.99306,                      1,                  0.995,                0.78631,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.44924,                0.35122,                0.83947,                0.99207,                      1,                  0.995,                 0.7789,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.43994,                0.32921,                0.84005,                      1,                 0.9985,                  0.995,                0.77315,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.42984,                0.32346,                0.82918,                      1,                0.99837,                  0.995,                0.76376,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.43413,                0.32864,                0.81863,                0.99832,                   0.98,                0.99461,                0.75006,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.44118,                0.32885,                0.83837,                      1,                0.99884,                  0.995,                0.76133,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.41204,                0.31672,                0.83524,                      1,                 0.9985,                  0.995,                0.77167,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.42778,                0.31526,                0.82348,                      1,                0.99838,                  0.995,                0.75952,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.40051,                0.30272,                0.82006,                      1,                0.99825,                  0.995,                0.77516,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.41018,                0.30359,                0.83006,                      1,                0.99753,                  0.995,                0.77581,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.41629,                0.30728,                0.81919,                      1,                 0.9974,                  0.995,                0.76996,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
